Total Line Failures,Steady State,Accumulation of Failed Capacities
6,3,6078.0
7,4,6078.0
8,5,6063.0
9,6,6063.0
10,7,6068.0
11,8,6021.0
12,-1,6143.0
5,2,6088.0
6,3,6084.0
7,4,6092.0
8,5,6087.0
9,6,6087.0
10,7,6057.0
11,8,6057.0
12,9,6083.0
13,10,6083.0
14,11,6083.0
15,12,6082.0
16,13,6076.0
17,14,6083.0
18,15,6086.0
19,16,6058.0
20,17,6063.0
21,18,6068.0
22,19,6056.0
23,20,6123.0
24,21,6063.0
25,22,6064.0
26,23,6056.0
27,24,6062.0
28,25,6057.0
29,26,6060.0
30,27,6068.0
31,-1,6159.0
5,-1,6195.0
5,2,6129.0
6,3,6170.0
7,4,6164.0
8,5,6164.0
9,-1,6173.0
5,-1,6137.0
5,2,6135.0
6,-1,6121.0
5,2,6123.0
6,3,6136.0
7,-1,6136.0
5,2,6111.0
6,3,6111.0
7,4,6127.0
8,5,6110.0
9,6,6109.0
10,-1,6110.0
5,2,6081.0
6,-1,6084.0
5,2,6069.0
6,3,6049.0
7,4,6032.0
8,5,6032.0
9,6,6038.0
10,7,5981.0
11,8,6032.0
12,9,6032.0
13,10,6032.0
14,11,6032.0
15,12,6032.0
16,13,6032.0
17,14,6063.0
18,15,6076.0
19,16,6094.0
20,17,5976.0
21,18,6058.0
22,19,6085.0
23,20,6102.0
24,-1,6140.0
5,-1,6131.0
5,2,6110.0
6,3,6096.0
7,4,6083.0
8,5,6080.0
9,6,6080.0
10,7,6061.0
11,8,6038.0
12,9,6080.0
13,10,6081.0
14,11,6081.0
15,12,6081.0
16,13,6081.0
17,14,6082.0
18,15,6052.0
19,16,6043.0
20,17,6040.0
21,18,6045.0
22,19,6045.0
23,20,6030.0
24,21,6026.0
25,22,6023.0
26,23,6070.0
27,24,6078.0
28,25,6088.0
29,26,6050.0
30,27,6168.0
31,28,6171.0
32,-1,6230.0
5,2,6176.0
6,-1,6171.0
5,-1,6085.0
5,-1,6099.0
5,2,6105.0
6,3,6128.0
7,-1,6130.0
5,2,6180.0
6,-1,6179.0
5,2,6065.0
6,3,6068.0
7,-1,6066.0
5,2,6088.0
6,3,6066.0
7,4,6065.0
8,5,6137.0
9,6,6187.0
10,7,6081.0
11,8,6071.0
12,9,6051.0
13,10,6052.0
14,11,6050.0
15,12,6050.0
16,13,6049.0
17,14,6061.0
18,15,6054.0
19,-1,6126.0
5,2,6096.0
6,3,6104.0
7,4,6108.0
8,5,6097.0
9,6,6086.0
10,7,6174.0
11,8,6084.0
12,9,6129.0
13,10,6101.0
14,11,6015.0
15,12,6098.0
16,13,6093.0
17,14,6104.0
18,15,6110.0
19,16,6111.0
20,17,6108.0
21,18,6114.0
22,19,6122.0
